2019-09-07 09:01:07	1	12345678	200000	20	40
2019-09-07 10:14:50	1	123896548	200003	0	20
2019-09-07 10:15:25	1	123896548	200003	20	40
2019-09-07 13:39:55	1	123896548	200002	230	250
2019-09-07 13:40:29	1	123896548	200002	250	270
2019-09-07 13:40:33	1	123896548	200002	270	300
2019-09-07 13:41:12	1	123896548	200002	300	330
2019-09-07 13:57:36	1	123896548	200002	330	350
2019-09-07 14:03:38	1	123896548	200002	350	430
2019-09-07 14:15:00	1	123896548	200002	430	530
2019-09-07 14:18:16	1	123896548	200002	530	630
2019-09-07 14:18:47	1	123896548	200002	630	680
2019-09-07 17:19:31	1	123456789	200005	0	20
2019-09-07 17:27:36	1	123456789	200007	0	20
2019-09-07 17:36:01	1	123456789	200007	20	40
2019-09-07 17:37:03	1	123456789	200007	40	50
2019-09-07 17:37:19	1	123456789	200007	50	60
2019-09-07 17:41:51	1	123456789	200007	60	100
2019-09-07 17:45:27	1	123456789	200007	100	120
2019-09-07 17:52:04	1	123456789	200007	120	130
2019-09-07 17:53:04	1	123456789	200007	130	190
2019-09-07 17:54:02	1	123456789	200007	190	220
2019-09-07 18:02:28	1	123456789	200007	220	300
