2019-10-29 09:59:39	1	aaa	200011	5	276	1005101	1	1	0	0		0	1900-01-01 12:00:00	1	任务奖励	0	0	0	0	1	0	0
2019-10-29 09:59:41	1	aaa	200011	5	276	1005101	1	1	0	0		0	1900-01-01 12:00:00	0	客户端修改	0	0	0	0	1	0	0
2019-10-29 10:16:52	1	1111	200013	11	277	4000	1	1	0	0		0	1900-01-01 12:00:00	1	任务奖励	0	0	0	0	0	0	0
2019-10-29 10:17:28	1	1111	200013	12	278	2016	5	1	0	0		0	1900-01-01 12:00:00	5	任务奖励	0	0	0	0	0	0	0
2019-10-29 10:17:50	1	1111	200013	12	278	2016	4	1	0	0		0	1900-01-01 12:00:00	-1	物品使用	0	0	0	0	0	0	0
2019-10-29 10:17:58	1	1111	200013	12	278	2016	3	1	0	0		0	1900-01-01 12:00:00	-1	物品使用	0	0	0	0	0	0	0
2019-10-29 11:32:32	1	1111	200014	2	279	1011	99	1	0	0		0	1900-01-01 12:00:00	99	任务奖励	0	0	0	0	0	0	0
2019-10-29 11:32:32	1	1111	200014	2	280	1111	99	1	0	0		0	1900-01-01 12:00:00	99	任务奖励	0	0	0	0	0	0	0
2019-10-29 11:33:19	1	1111	200014	5	281	1005101	1	1	0	0		0	1900-01-01 12:00:00	1	任务奖励	0	0	0	0	1	0	0
2019-10-29 11:33:22	1	1111	200014	5	281	1005101	1	1	0	0		0	1900-01-01 12:00:00	0	客户端修改	0	0	0	0	1	0	0
